p_miss,adv_frac,strategy,metric,mean,ci
0.05,0.1,self,tps,0.027594533110120775,0.00031824022620647875
0.05,0.1,random,tps,0.027594533110120775,0.00031824022620647875
0.05,0.1,withhold,tps,0.027594533110120775,0.00031824022620647875
0.05,0.1,invalid,tps,0.027594533110120775,0.00031824022620647875
0.05,0.1,fake,tps,0.027594533110120775,0.00031824022620647875
0.05,0.2,self,tps,0.027539600044349456,0.000317502772938605
0.05,0.2,random,tps,0.027539600044349456,0.000317502772938605
0.05,0.2,withhold,tps,0.027539600044349456,0.000317502772938605
0.05,0.2,invalid,tps,0.027539600044349456,0.000317502772938605
0.05,0.2,fake,tps,0.027539600044349456,0.000317502772938605
0.05,0.3,self,tps,0.027484165540195792,0.000316917766666515
0.05,0.3,random,tps,0.027484165540195792,0.000316917766666515
0.05,0.3,withhold,tps,0.027484165540195792,0.000316917766666515
0.05,0.3,invalid,tps,0.027484165540195792,0.000316917766666515
0.05,0.3,fake,tps,0.027484165540195792,0.000316917766666515
0.05,0.4,self,tps,0.02742917378177847,0.00031617166635626413
0.05,0.4,random,tps,0.02742917378177847,0.00031617166635626413
0.05,0.4,withhold,tps,0.02742917378177847,0.00031617166635626413
0.05,0.4,invalid,tps,0.02742917378177847,0.00031617166635626413
0.05,0.4,fake,tps,0.02742917378177847,0.00031617166635626413
0.05,0.5,self,tps,0.027373092400004993,0.00031553719433606765
0.05,0.5,random,tps,0.027373092400004993,0.00031553719433606765
0.05,0.5,withhold,tps,0.027373092400004993,0.00031553719433606765
0.05,0.5,invalid,tps,0.027373092400004993,0.00031553719433606765
0.05,0.5,fake,tps,0.027373092400004993,0.00031553719433606765
0.05,0.6,self,tps,0.027318284713869007,0.00031486086988019417
0.05,0.6,random,tps,0.027318284713869007,0.00031486086988019417
0.05,0.6,withhold,tps,0.027318284713869007,0.00031486086988019417
0.05,0.6,invalid,tps,0.027318284713869007,0.00031486086988019417
0.05,0.6,fake,tps,0.027318284713869007,0.00031486086988019417
0.05,0.7,self,tps,0.027263102440898933,0.0003144291733520327
0.05,0.7,random,tps,0.027263102440898933,0.0003144291733520327
0.05,0.7,withhold,tps,0.027263102440898933,0.0003144291733520327
0.05,0.7,invalid,tps,0.027263102440898933,0.0003144291733520327
0.05,0.7,fake,tps,0.027263102440898933,0.0003144291733520327
0.05,0.8,self,tps,0.02720739389289627,0.00031354920353082066
0.05,0.8,random,tps,0.02720739389289627,0.00031354920353082066
0.05,0.8,withhold,tps,0.02720739389289627,0.00031354920353082066
0.05,0.8,invalid,tps,0.02720739389289627,0.00031354920353082066
0.05,0.8,fake,tps,0.02720739389289627,0.00031354920353082066
0.05,0.9,self,tps,0.027151955256441096,0.00031293427236410334
0.05,0.9,random,tps,0.027151955256441096,0.00031293427236410334
0.05,0.9,withhold,tps,0.027151955256441096,0.00031293427236410334
0.05,0.9,invalid,tps,0.027151955256441096,0.00031293427236410334
0.05,0.9,fake,tps,0.027151955256441096,0.00031293427236410334
0.1,0.1,self,tps,0.013912595793455728,0.00010833695417923041
0.1,0.1,random,tps,0.013912595793455728,0.00010833695417923041
0.1,0.1,withhold,tps,0.013912595793455728,0.00010833695417923041
0.1,0.1,invalid,tps,0.013912595793455728,0.00010833695417923041
0.1,0.1,fake,tps,0.013912595793455728,0.00010833695417923041
0.1,0.2,self,tps,0.013884696975146396,0.00010797109497204442
0.1,0.2,random,tps,0.013884696975146396,0.00010797109497204442
0.1,0.2,withhold,tps,0.013884696975146396,0.00010797109497204442
0.1,0.2,invalid,tps,0.013884696975146396,0.00010797109497204442
0.1,0.2,fake,tps,0.013884696975146396,0.00010797109497204442
0.1,0.3,self,tps,0.01385680865996156,0.00010772647004116619
0.1,0.3,random,tps,0.01385680865996156,0.00010772647004116619
0.1,0.3,withhold,tps,0.01385680865996156,0.00010772647004116619
0.1,0.3,invalid,tps,0.01385680865996156,0.00010772647004116619
0.1,0.3,fake,tps,0.01385680865996156,0.00010772647004116619
0.1,0.4,self,tps,0.013829040105420578,0.00010742874541171608
0.1,0.4,random,tps,0.013829040105420578,0.00010742874541171608
0.1,0.4,withhold,tps,0.013829040105420578,0.00010742874541171608
0.1,0.4,invalid,tps,0.013829040105420578,0.00010742874541171608
0.1,0.4,fake,tps,0.013829040105420578,0.00010742874541171608
0.1,0.5,self,tps,0.013801126195558693,0.00010724168278563249
0.1,0.5,random,tps,0.013801126195558693,0.00010724168278563249
0.1,0.5,withhold,tps,0.013801126195558693,0.00010724168278563249
0.1,0.5,invalid,tps,0.013801126195558693,0.00010724168278563249
0.1,0.5,fake,tps,0.013801126195558693,0.00010724168278563249
0.1,0.6,self,tps,0.013774035629824597,0.00010691461572444649
0.1,0.6,random,tps,0.013774035629824597,0.00010691461572444649
0.1,0.6,withhold,tps,0.013774035629824597,0.00010691461572444649
0.1,0.6,invalid,tps,0.013774035629824597,0.00010691461572444649
0.1,0.6,fake,tps,0.013774035629824597,0.00010691461572444649
0.1,0.7,self,tps,0.013746217662288668,0.00010676072006491786
0.1,0.7,random,tps,0.013746217662288668,0.00010676072006491786
0.1,0.7,withhold,tps,0.013746217662288668,0.00010676072006491786
0.1,0.7,invalid,tps,0.013746217662288668,0.00010676072006491786
0.1,0.7,fake,tps,0.013746217662288668,0.00010676072006491786
0.1,0.8,self,tps,0.013718637123482688,0.00010649184079737069
0.1,0.8,random,tps,0.013718637123482688,0.00010649184079737069
0.1,0.8,withhold,tps,0.013718637123482688,0.00010649184079737069
0.1,0.8,invalid,tps,0.013718637123482688,0.00010649184079737069
0.1,0.8,fake,tps,0.013718637123482688,0.00010649184079737069
0.1,0.9,self,tps,0.013690576270777181,0.00010639469997050304
0.1,0.9,random,tps,0.013690576270777181,0.00010639469997050304
0.1,0.9,withhold,tps,0.013690576270777181,0.00010639469997050304
0.1,0.9,invalid,tps,0.013690576270777181,0.00010639469997050304
0.1,0.9,fake,tps,0.013690576270777181,0.00010639469997050304
0.2,0.1,self,tps,0.006424184822556686,4.3021891009076715e-05
0.2,0.1,random,tps,0.006424184822556686,4.3021891009076715e-05
0.2,0.1,withhold,tps,0.006424184822556686,4.3021891009076715e-05
0.2,0.1,invalid,tps,0.006424184822556686,4.3021891009076715e-05
0.2,0.1,fake,tps,0.006424184822556686,4.3021891009076715e-05
0.2,0.2,self,tps,0.006411270637030148,4.29308365457349e-05
0.2,0.2,random,tps,0.006411270637030148,4.29308365457349e-05
0.2,0.2,withhold,tps,0.006411270637030148,4.29308365457349e-05
0.2,0.2,invalid,tps,0.006411270637030148,4.29308365457349e-05
0.2,0.2,fake,tps,0.006411270637030148,4.29308365457349e-05
0.2,0.3,self,tps,0.0063982897717956965,4.280769354978693e-05
0.2,0.3,random,tps,0.0063982897717956965,4.280769354978693e-05
0.2,0.3,withhold,tps,0.0063982897717956965,4.280769354978693e-05
0.2,0.3,invalid,tps,0.0063982897717956965,4.280769354978693e-05
0.2,0.3,fake,tps,0.0063982897717956965,4.280769354978693e-05
0.2,0.4,self,tps,0.006385566451226011,4.2684245456142065e-05
0.2,0.4,random,tps,0.006385566451226011,4.2684245456142065e-05
0.2,0.4,withhold,tps,0.006385566451226011,4.2684245456142065e-05
0.2,0.4,invalid,tps,0.006385566451226011,4.2684245456142065e-05
0.2,0.4,fake,tps,0.006385566451226011,4.2684245456142065e-05
0.2,0.5,self,tps,0.006372893230224822,4.2585312966841326e-05
0.2,0.5,random,tps,0.006372893230224822,4.2585312966841326e-05
0.2,0.5,withhold,tps,0.006372893230224822,4.2585312966841326e-05
