[39882, 80088]
[60580, 61990]
[51417, 107582]
[27509, 31181]
[2400, 4103]
[5388, 29177]
[2618, 2843]
[1202, 7886]
[34931, 74528]
[10370, 26283]
[41431, 41409]
[36112, 55827]
[57021, 26337]
[22162, 55898]
[64794, 62913]
[3302, 4372]
[28836, 15115]
[9296, 39327]
[62424, 34422]
[14291, 4730]
[58617, 83571]
[22701, 26871]
[29489, 45198]
[34302, 52869]
[40032, 80880]
[54582, 64537]
[12864, 9611]
[51321, 38447]
[12354, 31340]
[10789, 31888]
[19662, 36942]
[30654, 32067]
[36753, 58093]
[28900, 35338]
[10332, 13507]
[24822, 8278]
[27186, 19176]
[16433, 12415]
[39231, 22981]
[3779, 2964]
[48112, 87409]
[48650, 46072]
[49868, 38973]
[10076, 15329]
[36114, 38770]
[26881, 40473]
[15142, 10319]
[49149, 57113]
[56214, 86177]
[59413, 102745]
[4370, 5582]
[7624, 6447]
[32361, 20284]
[36247, 16790]
[16252, 10623]
[52458, 99072]
[46888, 98576]
[56624, 28269]
[27240, 16932]
[27953, 51599]
[28542, 93745]
[55770, 37654]
[32071, 29209]
[39826, 59639]
[25022, 59103]
[36498, 11264]
[34346, 129816]
[42042, 74403]
[30774, 35116]
[52133, 90730]
[2197, 4841]
[9898, 4942]
[65348, 74611]
[57958, 41284]
[6159, 7336]
[18876, 20041]
[52342, 59954]
[26750, 10311]
[6064, 4885]
[13903, 20072]
[33010, 50389]
[9563, 33550]
[15969, 20820]
[27774, 24319]
[24443, 33994]
[40342, 35917]
[18683, 36828]
[19350, 16877]
[42243, 57806]
[13421, 19701]
[46540, 81203]
[11965, 10098]
[16046, 17392]
[53360, 66255]
[44352, 56076]
[8754, 16221]
[41000, 49332]
[46575, 85871]
[41520, 127237]
[12172, 10115]
[26602, 17382]
[21232, 60068]
[55654, 68841]
[7692, 18210]
[40360, 69938]
[47061, 50004]
[29001, 19619]
[36003, 39474]
[19141, 24005]
[29761, 21533]
[43022, 32599]
[47063, 79320]
[38059, 113395]
[64800, 112199]
[24958, 31286]
[6265, 4293]
[63718, 12073]
[58427, 46933]
[59833, 129520]
[57924, 59887]
[47868, 108426]
[14286, 17735]
[60415, 34448]
[39665, 21702]
[3854, 1204]
[7793, 8366]
[3096, 2432]
[45415, 65802]
[55109, 111512]
[26555, 22724]
[41171, 66714]
[49474, 54186]
[34696, 86563]
[4129, 8205]
[28519, 15436]
[33144, 21150]
[62431, 71387]
[33086, 71423]
[14141, 11983]
[56482, 120566]
[20039, 46227]
[52211, 42221]
[23794, 53693]
[6956, 3100]
[42379, 43791]
[43038, 107528]
[8728, 2885]
[14175, 21776]
[10886, 26877]
[2645, 2667]
[28448, 47922]
[4216, 4815]
[18692, 33165]
[27473, 39560]
[10729, 6564]
[40635, 109703]
[64627, 28398]
[31145, 14881]
[7395, 2496]
[58339, 58594]
[48081, 77955]
[1849, 1442]
[37951, 39334]
[24614, 15309]
[58620, 118216]
[37475, 63228]
[33266, 51720]
[64424, 29396]
[55087, 89888]
[45300, 105922]
[38951, 48630]
[47917, 84324]
[23508, 17739]
[16064, 29968]
[25562, 52424]
[58318, 43817]
[11159, 16135]
[47861, 121569]
[27347, 18240]
[43585, 52386]
[48243, 46016]
[59041, 105613]
[58620, 75499]
[59130, 55551]
[6094, 6606]
[40235, 103039]
[45632, 44783]
[46996, 106896]
[12546, 8075]
[4975, 7629]
[56441, 46131]
[37501, 40457]
[45330, 109065]
[55819, 87119]
[34760, 37461]
[45562, 80355]
[50017, 27575]
[13455, 5134]
[24874, 63532]
[57762, 39887]
[53782, 91813]
[60968, 65524]
[34833, 66497]
[65357, 98975]
[49634, 59211]
[53121, 31124]
[37592, 84050]
[45399, 118008]
[49250, 58311]
[41146, 80489]
[1790, 2846]
[57266, 103055]
[17258, 14667]
[55934, 46411]
[14875, 28502]
[39730, 30623]
[43901, 103042]
[44406, 58311]
[19062, 30853]
[29289, 4156]
[32742, 52239]
[60887, 40161]
[38573, 38647]
[27266, 14848]
[16026, 18626]
[30588, 83870]
[59967, 86051]
[29714, 33669]
[52712, 36582]
[43579, 40173]
[60537, 67578]
[45391, 80449]
[63411, 70400]
[45334, 57497]
[55204, 14897]
[28449, 38356]
[50863, 50274]
[9701, 19561]
[21831, 29147]
[63709, 52647]
[53426, 64592]
[63928, 55021]
[52895, 55120]
[63233, 68790]
[3847, 2138]
[17861, 41249]
[34184, 102588]
[18723, 16705]
[55555, 30796]
[2973, 5498]
[21824, 18653]
[27673, 9894]
[7176, 4657]
[61918, 69499]
[50454, 70484]
[26874, 17041]
[32668, 28111]
[17540, 38689]
[22200, 28397]
[4742, 3441]
[44639, 71918]
[18419, 39290]
[25581, 78908]
[27789, 54684]
[29167, 26799]
[43985, 56963]
[57271, 25439]
[41080, 73593]
[30638, 28684]
[4326, 8069]
[27660, 21430]
[32287, 16527]
[874, 379]
[13577, 87373]
[49325, 79415]
[9697, 37747]
[36840, 45345]
[17087, 31415]
[51261, 55328]
[30481, 28788]
[44201, 35803]
[25809, 16713]
[48189, 92289]
[60231, 48445]
[18066, 52314]
[43225, 71860]
[5324, 5849]
[20402, 66376]
[49898, 80854]
[36235, 63321]
[53273, 62739]
[8614, 16670]
[45863, 51664]
[61281, 45376]
[27470, 46639]
[40114, 102270]
[47933, 98073]
[841, 1707]
[45537, 52777]
[53245, 61905]
[59310, 67322]
[23907, 76492]
[17940, 26111]
[33570, 73830]
[8836, 32117]
[59583, 26765]
[25479, 20068]
[11168, 30679]
[64614, 55229]
[19476, 15675]
[29416, 45305]
[54012, 48226]
[25874, 15694]
[63666, 37355]
[22327, 27069]
[43448, 87118]
[12456, 23504]
[57286, 62683]
[58625, 42061]
[23609, 39727]
[38963, 32809]
[898, 1586]
[20461, 18781]
[55734, 34915]
[39123, 71625]
[1137, 1953]
[37015, 53865]
[21436, 8816]
[31057, 47560]
[33326, 18587]
[50608, 96375]
[21517, 21677]
[39371, 50070]
[56487, 30490]
[15169, 20799]
[12082, 22692]
[10434, 20599]
[40818, 33122]
[25886, 12377]
[19206, 24979]
[26839, 38563]
[37046, 36043]
[26442, 22358]
[18738, 77526]
[64961, 59283]
[50253, 44088]
[63119, 77808]
[24746, 43860]
[55127, 26799]
[64521, 97732]
[39970, 52051]
[37509, 74801]
[57272, 17487]
[60157, 22536]
[30721, 33383]
[13312, 9550]
[32305, 39373]
[23259, 19209]
[54593, 92037]
[17703, 38856]
[37705, 71071]
[28070, 13633]
[30146, 28371]
[26566, 24568]
[43597, 16839]
[43769, 73223]
[16472, 12088]
[22381, 21650]
[56061, 33935]
[61090, 50729]
[54583, 61849]
[42503, 22271]
[6536, 2407]
[60292, 19106]
[15070, 12014]
[31842, 22445]
[52870, 48362]
[64608, 25230]
[4053, 4335]
[21774, 19054]
[19843, 8508]
[45148, 52551]
[13711, 12658]
[39302, 81460]
[41206, 64105]
[36775, 113645]
[47087, 89785]
[56988, 58776]
[11111, 5195]
[22785, 10976]
[11184, 15421]
[38768, 88592]
[4981, 4556]
